,0,1,2,3,4,5,6,7
63,2025년 장애학생 교육활동 실천 우수사례 공모전,논문/리포트,일반인,국립특수교육원,교육부,2025-03-31 ~ 2025-09-12,1천만원이하,300만원
64,하하호호 콘텐츠 공모전,광고/마케팅,제한없음,송파구청 / 송파구청 홍보담당관,2025-04-25 ~ 2025-05-31,1천만원이하,100만원,
65,2025 아름다운 우리말 이름 가게 찾기 공모전,네이밍/슬로건,제한없음,문화체육관광부  / 동아대학교 국어문화원,2025-04-28 ~ 2025-06-22,다양한 혜택,,
66,2025 해양콘텐츠공모전 (포스터·굿즈 디자인 공모전),디자인/캐릭터/웹툰,제한없음,부산광역시 / (사)한국해양산업협회,2025-04-21 ~ 2025-05-19,1천만원이하,300만원,
67,[한국경제인협회 기업가정신발전소] AIdentity 디자인 공모전,디자인/캐릭터/웹툰,제한없음,한국경제인협회 기업가정신발전소,.,2025-04-24 ~ 2025-05-18,1천만원이하,200만원
68,제20회 특허·상표 판례연구 논문 공모전,논문/리포트,"일반인, 대학생, 기타",특허청 특허심판원,2025-04-21 ~ 2025-09-22,1천만원이하,200만원,
69,[한국마약퇴치운동본부 인천함께한걸음센터] 2025년 세계마약퇴치의날 기념 공모전,예체능/미술/음악,기타,한국마약퇴치운동본부 인천함께한걸음센터,2025-04-10 ~ 2025-05-20,1천만원이하,100만원,
70,제주 수학여행 콘텐츠 공모전,영상/UCC/사진,청소년,(주)이벤트인제주,2025-04-21 ~ 2025-07-06,1천만원이하,30만원,
71,"2025년 환경의 날 기념 환경공모전 (슬로건, 숏폼영상 공모전)",예체능/미술/음악,기타,인천환경공단,2025-04-24 ~ 2025-05-23,1천만원이하,100만원,
72,2025 대한민국 고졸인재 채용엑스포 V-log 공모전,영상/UCC/사진,기타,"교육부, 한국장학재단 / 교육부, 한국장학재단, 한국경제신문",2025-04-17 ~ 2025-05-15,1천만원이하,50만원,
73,디지털 도로대장 활용 아이디어 공모전,기획/아이디어,제한없음,국토교통부 / 한국국토정보공사,2025-04-23 ~ 2025-06-05,1천만원이하,300만원,
74,[안산시지속가능발전협의회] 지속가능발전 전국 어린이 그림 공모전,예체능/미술/음악,"어린이, 기타",안산시지속가능발전협의회,2025-04-21 ~ 2025-05-16,다양한 혜택,,
75,2025 휴먼아시아 청소년 인권수필 공모전,문학/글/시나리오,"청소년, 기타",휴먼아시아,2025-04-21 ~ 2025-08-31,1천만원이하,100만원,
76,세종 나신 날 기념 제10회 어린이 한글 사랑 포스터 공모전,예체능/미술/음악,"어린이, 기타",문화체육관광부,2025-04-07 ~ 2025-05-09,다양한 혜택,,
77,2025 전남 섬‧해양 관광 콘텐츠 발굴 공모전,예체능/미술/음악,"일반인, 대학생, 기타",전라남도관광재단,2025-04-25 ~ 2025-05-26,1천만원이하,150만원,
78,제6회 기상청 달콤기후 공모전,예체능/미술/음악,제한없음,기상청,2025-04-23 ~ 2025-06-13,1천만원이하,200만원,
79,2025년 단양군 규제개혁 공모전,기획/아이디어,기타,단양군,2025-04-07 ~ 2025-05-09,1천만원이하,80만원,
80,2025 경기북부 치안개선 아이디어 공모전,기획/아이디어,기타,경기도북부자치경찰위원회,2025-04-21 ~ 2025-05-30,1천만원이하,100만원,
81,2025년 함평군 규제개혁 아이디어 공모전,기획/아이디어,기타,함평군,2025-04-07 ~ 2025-05-26,1천만원이하,500만원,
82,[충청북도소방본부] AI 119소방안전노래 공모전,예체능/미술/음악,"일반인, 대학생, 기타",충청북도소방본부,2025-04-21 ~ 2025-05-09,다양한 혜택,,
83,청도 온가족 사랑 사진·숏폼영상 공모전,영상/UCC/사진,기타,청도군,2025-04-07 ~ 2025-05-26,1천만원이하,100만원,
84,2025 대구 근대골목 일러스트 공모전,디자인/캐릭터/웹툰,제한없음,대구광역시 중구,2025-04-14 ~ 2025-09-30,1천만원이하,100만원,
85,제5회 부산 서구 정책 아이디어 공모전,기획/아이디어,제한없음,부산광역시 서구,2025-04-01 ~ 2025-05-30,1천만원이하,100만원,
86,해커스 그래머 게이트웨이 공모전,광고/마케팅,기타,해커스 교육그룹,2025-04-22 ~ 2025-05-31,1천만원이하,500만원,
87,나만의 픽! 전남화순 추천여행 코스 숏폼 영상 공모전,영상/UCC/사진,제한없음,화순군청,2025-04-18 ~ 2025-05-31,1천만원이하,100만원,
88,2025 여어디여 하동여행 사진공모전,영상/UCC/사진,제한없음,하동군청,2025-04-21 ~ 2025-06-20,1천만원이하,50만원,
89,2025년 목포시 시정발전 정책제안 공모전,기획/아이디어,제한없음,목포시,2025-04-21 ~ 2025-05-23,1천만원이하,100만원,
90,제 17회 전국 장애인 문학 공모전 (세상을 날다),문학/글/시나리오,제한없음,"인천국제공항공사, 기호일보 / 인천광역시중구장애인종합복지관",2025-04-21 ~ 2025-05-23,1천만원이하,150만원,
91,2025년 국제학술대회 홍보 포스터 공모전,예체능/미술/음악,기타,한국놀이치료학회,2025-04-21 ~ 2025-05-12,다양한 혜택,,
92,2025 혁신 스타트업 발굴 공모전 FutureScape,취업/창업,기타,삼성물산,2025-04-14 ~ 2025-05-06,다양한 혜택,,
93,제8회 고흥분청사기 전국 공모전,예체능/미술/음악,"일반인, 기타",고흥분청문화박물관,2025-04-14 ~ 2025-08-09,5천만원~3천만원,"1,000만원",
94,2025 충청북도 60초 영상 공모전,영상/UCC/사진,제한없음,충청북도,2025-04-14 ~ 2025-06-13,3천만원~1천만원,400만원,
95,고군산 섬잇길 굿즈 아이디어 공모전,기획/아이디어,제한없음,고군산,2025-04-23 ~ 2025-05-07,다양한 혜택,,
96,2025 장애인 IT 창업아이템 공모전,취업/창업,기타,"코스콤, 푸르메재단",2025-04-17 ~ 2025-05-15,다양한 혜택,,
97,2025 구로G페스티벌(아시아문화축제) 아이디어 공모전,기획/아이디어,제한없음,구로구,2025-04-14 ~ 2025-05-06,1천만원이하,30만원,
